brand,model,vehicleType,gearbox,fuelType,notRepairedDamage,powerPS,kilometer,autoAgeMonths,price
volkswagen,golf,kleinwagen,manuell,benzin,nein,75,150000,177,1500
skoda,fabia,kleinwagen,manuell,diesel,nein,69,90000,93,3600
bmw,3er,limousine,manuell,benzin,ja,102,150000,246,650
peugeot,2_reihe,cabrio,manuell,benzin,nein,109,150000,140,2200
mazda,3_reihe,limousine,manuell,benzin,nein,105,150000,136,2000
volkswagen,passat,kombi,manuell,diesel,ja,140,150000,124,2799
nissan,navara,suv,manuell,diesel,nein,190,70000,61,17999
renault,twingo,kleinwagen,automatik,benzin,nein,75,150000,146,1750
ford,c_max,bus,manuell,diesel,nein,136,150000,106,7550
mercedes_benz,a_klasse,bus,manuell,benzin,nein,102,150000,147,1850
volkswagen,scirocco,coupe,manuell,benzin,nein,160,100000,84,10400
bmw,5er,limousine,automatik,benzin,nein,231,150000,165,3699
mercedes_benz,andere,limousine,manuell,benzin,ja,118,150000,305,500
bmw,5er,kombi,automatik,diesel,ja,193,150000,162,2500
honda,civic,limousine,manuell,benzin,nein,99,60000,88,6900
fiat,punto,kleinwagen,manuell,benzin,nein,60,150000,156,690
mercedes_benz,e_klasse,limousine,automatik,diesel,nein,113,150000,255,3300
bmw,3er,limousine,automatik,benzin,nein,218,20000,107,18000
mercedes_benz,e_klasse,limousine,automatik,diesel,nein,122,150000,136,3500
volkswagen,andere,andere,manuell,diesel,nein,129,150000,161,11900
mercedes_benz,andere,bus,manuell,diesel,nein,70,150000,379,1500
mini,one,limousine,manuell,benzin,nein,95,100000,103,6990
renault,clio,kleinwagen,manuell,benzin,nein,75,125000,199,590
bmw,1er,limousine,manuell,diesel,nein,177,150000,103,7999
bmw,5er,kombi,automatik,benzin,nein,193,150000,218,2100
mercedes_benz,b_klasse,bus,automatik,diesel,nein,109,150000,45,13500
bmw,andere,coupe,automatik,benzin,nein,306,30000,21,39600
smart,fortwo,cabrio,automatik,benzin,nein,61,80000,122,3000
volkswagen,golf,limousine,manuell,benzin,nein,101,150000,210,1000
audi,a8,limousine,automatik,diesel,ja,232,150000,145,7499
skoda,fabia,kleinwagen,manuell,benzin,nein,60,70000,72,5500
volkswagen,jetta,limousine,automatik,diesel,nein,105,100000,113,7000
bmw,3er,cabrio,manuell,benzin,nein,218,50000,103,14999
volkswagen,scirocco,coupe,manuell,benzin,nein,160,150000,92,9700
mercedes_benz,c_klasse,kombi,manuell,benzin,nein,156,150000,89,7999
volkswagen,golf,limousine,manuell,diesel,nein,105,150000,113,6600
nissan,micra,kleinwagen,manuell,benzin,nein,80,40000,36,7999
mercedes_benz,vito,andere,manuell,diesel,nein,82,150000,151,1400
mercedes_benz,sprinter,bus,manuell,diesel,nein,109,150000,119,5000
mercedes_benz,e_klasse,limousine,automatik,diesel,nein,204,80000,64,20300
alfa_romeo,156,kombi,manuell,benzin,ja,155,150000,196,250
ford,escort,limousine,manuell,benzin,ja,75,100000,262,600
mercedes_benz,c_klasse,kombi,manuell,diesel,ja,150,150000,126,3300
subaru,forester,kombi,automatik,benzin,nein,122,150000,221,1600
mitsubishi,andere,bus,manuell,diesel,nein,87,150000,176,1800
ford,fiesta,kleinwagen,manuell,benzin,nein,82,60000,76,6800
renault,scenic,bus,manuell,benzin,nein,113,150000,135,2990
mercedes_benz,e_klasse,limousine,manuell,diesel,nein,113,150000,252,1
audi,a1,kleinwagen,manuell,benzin,nein,86,60000,36,14500
volkswagen,passat,limousine,manuell,diesel,nein,131,150000,155,3850
bmw,3er,limousine,automatik,diesel,nein,143,40000,34,23490
mercedes_benz,a_klasse,kleinwagen,automatik,benzin,nein,102,125000,197,1700
ford,focus,kombi,manuell,diesel,nein,109,150000,114,1500
hyundai,andere,coupe,automatik,benzin,nein,303,50000,48,22999
mercedes_benz,c_klasse,kombi,manuell,diesel,nein,125,150000,200,900
audi,tt,coupe,manuell,benzin,ja,224,150000,199,3399
volkswagen,passat,kombi,manuell,benzin,nein,101,150000,221,1300
bmw,5er,limousine,automatik,diesel,nein,235,100000,84,7300
opel,astra,cabrio,manuell,benzin,nein,200,125000,115,8599
audi,a6,kombi,automatik,diesel,nein,178,150000,135,5900
volkswagen,golf,limousine,manuell,benzin,nein,265,150000,169,6300
volkswagen,andere,coupe,manuell,benzin,nein,160,150000,299,3500
bmw,3er,limousine,manuell,diesel,ja,163,150000,122,5950
honda,jazz,kleinwagen,manuell,benzin,nein,77,150000,152,1699
volkswagen,transporter,bus,manuell,benzin,nein,110,150000,235,4699
volkswagen,polo,kleinwagen,manuell,benzin,nein,86,40000,70,9290
mercedes_benz,slk,limousine,manuell,benzin,nein,120,150000,154,7000
