Дата заказа (ГГГГ-ММ-ДД),Шифр заказа (ID),Расстояние до клиента (в км),Количество позиций в чеке (в шт.),Балл пробок на дорогах (в баллах),Погода (в градусах Цельсия),Этаж доставки (в этажах),Время доставки (в минутах)
2026-09-08,ORD-202608001,11.3,1,9,21.0,6,79.2
2026-08-29,ORD-202608002,7.3,3,7,27.0,7,46.6
2026-08-15,ORD-202608003,2.2,1,3,20.0,5,16.3
2026-08-08,ORD-202608004,0.9,2,6,22.9,1,15.8
2026-08-21,ORD-202608005,12.3,14,4,18.1,2,69.2
2026-09-08,ORD-202608006,5.5,1,3,20.7,5,28.9
2026-08-19,ORD-202608007,11.7,3,7,9.4,2,66.0
2026-08-23,ORD-202608008,0.8,4,1,13.1,1,11.0
2026-08-11,ORD-202608009,11.0,5,8,15.2,15,77.7
2026-08-11,ORD-202608010,0.8,4,4,17.4,23,26.0
2026-08-24,ORD-202608011,14.9,1,5,8.9,13,77.8
2026-09-05,ORD-202608012,0.8,2,5,10.8,15,13.1
2026-09-09,ORD-202608013,23.0,3,8,13.5,3,133.7
2026-08-24,ORD-202608014,6.4,1,5,27.4,21,43.0
2026-08-03,ORD-202608015,5.0,2,5,14.6,2,32.5
2026-08-22,ORD-202608016,14.7,1,1,17.6,21,71.4
2026-08-02,ORD-202608017,2.5,1,4,11.9,25,27.2
2026-08-24,ORD-202608018,6.6,3,2,20.2,10,39.4
2026-08-30,ORD-202608019,23.8,1,6,13.6,23,129.1
2026-09-07,ORD-202608020,1.2,4,4,12.1,7,16.4
2026-08-02,ORD-202608021,10.7,5,6,18.3,3,61.6
2026-08-21,ORD-202608022,18.9,6,1,8.1,5,83.7
2026-09-02,ORD-202608023,23.1,2,2,8.2,8,95.8
2026-08-12,ORD-202608024,15.3,1,6,12.4,1,79.8
2026-08-22,ORD-202608025,0.9,1,1,8.7,8,12.5
2026-08-25,ORD-202608026,12.8,4,1,10.2,23,65.7
2026-08-27,ORD-202608027,5.2,5,1,14.8,2,29.7
2026-08-28,ORD-202608028,2.1,1,9,24.1,13,24.3
2026-08-16,ORD-202608029,1.0,10,6,19.4,18,28.5
2026-08-15,ORD-202608030,2.0,1,3,18.3,20,24.1
2026-08-03,ORD-202608031,6.6,4,3,13.9,21,43.6
2026-09-06,ORD-202608032,11.7,5,3,26.6,7,54.2
2026-08-07,ORD-202608033,11.7,8,6,15.9,23,77.4
2026-08-21,ORD-202608034,19.3,5,6,9.7,12,107.4
2026-08-09,ORD-202608035,12.7,6,2,20.3,2,58.1
2026-09-08,ORD-202608036,3.3,2,2,10.3,6,22.4
2026-08-18,ORD-202608037,0.6,7,2,14.9,11,14.8
2026-08-04,ORD-202608038,14.9,1,6,18.1,3,82.8
2026-08-25,ORD-202608039,3.1,8,6,25.5,9,33.2
2026-08-14,ORD-202608040,0.9,4,3,17.9,9,16.6
2026-08-09,ORD-202608041,1.8,7,1,22.0,2,18.8
2026-08-26,ORD-202608042,5.0,3,2,27.9,7,32.0
2026-08-02,ORD-202608043,10.5,4,9,10.6,12,76.7
2026-08-20,ORD-202608044,0.8,3,3,13.5,6,15.4
2026-08-28,ORD-202608045,7.6,5,6,15.9,1,46.6
